exposure,age,low,central,high
29.1,25+,1.5190729257104238,1.6085250720566997,1.7032446985551957
29.200000000000003,25+,1.5205389863169876,1.6102900258664063,1.7053386928839065
29.3,25+,1.5220049814599057,1.6120551337476898,1.7074331463419992
29.4,25+,1.523470916399549,1.6138204018106614,1.709528065987237
29.5,25+,1.524936796301947,1.615585836055537,1.7116234587511716
29.6,25+,1.526402626240023,1.6173514423740505,1.713719331440726
29.700000000000003,25+,1.5278684111948182,1.6191172265508356,1.715815690739742
29.8,25+,1.5293341560566855,1.6208831942647934,1.7179125432105105
29.9,25+,1.5307998656264714,1.6226493510904332,1.7200098952952718
30,25+,1.5322655446166746,1.6244157024991883,1.722107753317693
30.1,25+,1.533731197652586,1.626182253860719,1.7242061234843196
30.200000000000003,25+,1.5351968292734106,1.6279490104441825,1.726305011886005
30.3,25+,1.5366624439333716,1.629715977419493,1.7284044244993169
30.4,25+,1.5381280460027955,1.6314831598585562,1.73050436718792
30.5,25+,1.5395936397691794,1.6332505627364835,1.7326048457039358
30.6,25+,1.541059229438243,1.635018190932788,1.734705865689283
30.700000000000003,25+,1.5425248191349623,1.636786049232562,1.7368074326769936
30.8,25+,1.543990412904587,1.6385541423276333,1.738909552092511
30.9,25+,1.5454560147136405,1.6403224748177077,1.7410122292549648
31,25+,1.5469216284509082,1.6420910512114872,1.743115469378428
31.1,25+,1.548387257928405,1.643859875927776,1.7452192775731508
31.200000000000003,25+,1.549852906882331,1.6456289532965669,1.7473236588467806
